MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,positive regulation of JNK cascade,,,ISO,Q15109 ,J:164563 
MGI:1919737,Aida,"axin interactor, dorsalization associated",1,,negative regulation of JNK cascade,,,IMP,,J:137475 
MGI:1919737,Aida,"axin interactor, dorsalization associated",1,,negative regulation of JNK cascade,,,IPI,O35625 ,J:137475 
MGI:1919737,Aida,"axin interactor, dorsalization associated",1,,negative regulation of JNK cascade,,,ISO,Q6PBN2 ,J:137475 
MGI:1919737,Aida,"axin interactor, dorsalization associated",1,,negative regulation of JUN kinase activity,,,IDA,,J:137475 
MGI:1919737,Aida,"axin interactor, dorsalization associated",1,,negative regulation of JUN kinase activity,,,IMP,,J:137475 
MGI:1919737,Aida,"axin interactor, dorsalization associated",1,,negative regulation of JUN kinase activity,,,ISO,Q6PBN2 ,J:137475 
MGI:1919737,Aida,"axin interactor, dorsalization associated",1,,negative regulation of JUN kinase activity,,,ISO,Q96BJ3 ,J:137475 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,negative regulation of JNK cascade,,,ISO,RGD:2081 ,J:155856 
MGI:2154278,Ankrd6,ankyrin repeat domain 6,4,,positive regulation of JNK cascade,,,IBA,PTN008608947 ,J:265628 
MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of JNK cascade,,,ISO,P05067 ,J:164563 
MGI:109349,Atf2,activating transcription factor 2,2,,JNK cascade,,,IMP,MGI:3720850 ,J:172398 
MGI:109349,Atf2,activating transcription factor 2,2,,JNK cascade,is a part of cellular response to virus,,IMP,,J:141299 
MGI:1096327,Axin1,axin 1,17,,positive regulation of JNK cascade,,,IMP,MGI:1856035 ,J:137089 
MGI:1096327,Axin1,axin 1,17,,positive regulation of JNK cascade,,,IMP,,J:137475 
MGI:2676458,Birc7,baculoviral IAP repeat-containing 7,2,,positive regulation of JNK cascade,,,ISO,Q96CA5 ,J:164563 
MGI:2685628,Card9,"caspase recruitment domain family, member 9",2,,JNK cascade,happens in monoblast,,IMP,MGI:3698412 ,J:117799 
MGI:2685628,Card9,"caspase recruitment domain family, member 9",2,,positive regulation of JNK cascade,positively regulates JNK cascade,,IMP,MGI:3698412 ,J:117799 
MGI:2685628,Card9,"caspase recruitment domain family, member 9",2,,positive regulation of JNK cascade,,,ISO,Q9H257 ,J:117799 
MGI:1351351,Casr,calcium-sensing receptor,16,,JNK cascade,,,ISO,RGD:2277 ,J:155856 
MGI:1346316,Ccl19,C-C motif chemokine ligand 19,4,,positive regulation of JNK cascade,,,ISO,Q99731 ,J:164563 
MGI:1891387,Ccl19-ps1,"C-C motif chemokine ligand 19, pseudogene 1",4,,positive regulation of JNK cascade,,,ISO,Q99731 ,J:164563 
MGI:1891391,Ccl19-ps3,"C-C motif chemokine ligand 19, pseudogene 3",4,,positive regulation of JNK cascade,,,ISO,Q99731 ,J:164563 
MGI:3708691,Ccl19-ps4,"C-C motif chemokine ligand 19, pseudogene 4",4,,positive regulation of JNK cascade,,,ISO,Q99731 ,J:164563 
MGI:3693096,Ccl19-ps5,"C-C motif chemokine ligand 19, pseudogene 5",4,,positive regulation of JNK cascade,,,ISO,Q99731 ,J:164563 
MGI:5434459,Ccl19-ps6,"C-C motif chemokine ligand 19, pseudogene 6",4,,positive regulation of JNK cascade,,,ISO,Q99731 ,J:164563 
MGI:1349183,Ccl21a,C-C motif chemokine ligand 21 (serine),4,,positive regulation of JNK cascade,,,ISO,O00585 ,J:164563 
MGI:1349182,Ccl21b,C-C motif chemokine ligand 21B (leucine),4,,positive regulation of JNK cascade,,,ISO,O00585 ,J:164563 
MGI:5434896,Ccl21d,C-C motif chemokine ligand 21D,4,,positive regulation of JNK cascade,,,ISO,O00585 ,J:164563 
MGI:95537,Ccn2,cellular communication network factor 2,10,,positive regulation of JNK cascade,,,ISO,P29279 ,J:164563 
MGI:88326,Cd27,CD27 antigen,6,,positive regulation of JNK cascade,,,IDA,,J:113841 
MGI:106211,Cdc42,cell division cycle 42,4,,positive regulation of JNK cascade,,,ISO,RGD:71043 ,J:155856 
MGI:1929745,Cdc42ep5,CDC42 effector protein 5,7,,JNK cascade,,,IDA,,J:65159 
MGI:1889510,Cdc42se1,CDC42 small effector 1,3,,negative regulation of JNK cascade,,,ISS,,J:63564 
