MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,canonical NF-kappaB signal transduction,happens in T cell,,IGI,MGI:87860 ,J:154821 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,negative regulation of canonical NF-kappaB signal transduction,,,IMP,MGI:108086 ,J:153689 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,positive regulation of canonical NF-kappaB signal transduction,"happens in T cell,positively regulates canonical NF-kappaB signal transduction",,IGI,MGI:87860 ,J:154821 
MGI:87860,Abl2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",1,,canonical NF-kappaB signal transduction,happens in T cell,,IGI,MGI:87859 ,J:154821 
MGI:87860,Abl2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",1,,positive regulation of canonical NF-kappaB signal transduction,"happens in T cell,positively regulates canonical NF-kappaB signal transduction",,IGI,MGI:87859 ,J:154821 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,negative regulation of canonical NF-kappaB signal transduction,,,ISO,Q15848 ,J:164563 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,positive regulation of canonical NF-kappaB signal transduction,,,IDA,,J:93109 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,positive regulation of canonical NF-kappaB signal transduction,,,IDA,,J:93110 
MGI:1341886,Ajuba,ajuba LIM protein,14,,canonical NF-kappaB signal transduction,happens in fibroblast,,IMP,,J:99125 
MGI:1341886,Ajuba,ajuba LIM protein,14,,positive regulation of canonical NF-kappaB signal transduction,positively regulates canonical NF-kappaB signal transduction,,IMP,,J:99125 
MGI:2676556,Akap13,A kinase anchor protein 13,7,,positive regulation of canonical NF-kappaB signal transduction,,,IBA,PTN002677811 ,J:265628 
MGI:2676556,Akap13,A kinase anchor protein 13,7,,positive regulation of canonical NF-kappaB signal transduction,,,ISO,RGD:727893 ,J:155856 
MGI:2676556,Akap13,A kinase anchor protein 13,7,,positive regulation of canonical NF-kappaB signal transduction,,,ISO,Q12802 ,J:164563 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,canonical NF-kappaB signal transduction,,,ISO,P31749 ,J:164563 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,positive regulation of I-kappaB phosphorylation,,,ISO,P31749 ,J:164563 
MGI:1918731,Alpk1,alpha-kinase 1,3,,positive regulation of canonical NF-kappaB signal transduction,,,ISO,Q96QP1 ,J:164563 
MGI:108448,Angpt1,angiopoietin 1,15,,regulation of canonical NF-kappaB signal transduction,,,IGI,MGI:98664 ,J:157867 
MGI:1932101,Ankrd17,ankyrin repeat domain 17,5,,positive regulation of canonical NF-kappaB signal transduction,,,ISO,O75179 ,J:164563 
MGI:99474,Arrb2,"arrestin, beta 2",11,,negative regulation of canonical NF-kappaB signal transduction,,,ISO,P32121 ,J:164563 
MGI:2183158,Ash1l,ASH1 like histone lysine methyltransferase,3,,canonical NF-kappaB signal transduction,happens in macrophage,,IMP,,J:208213 
MGI:2183158,Ash1l,ASH1 like histone lysine methyltransferase,3,,negative regulation of canonical NF-kappaB signal transduction,negatively regulates canonical NF-kappaB signal transduction,,IMP,,J:208213 
MGI:88123,Avpr2,arginine vasopressin receptor 2,X,,canonical NF-kappaB signal transduction,happens in fibroblast,,IMP,MGI:2384212 ,J:56156 
MGI:1351332,Azi2,5-azacytidine induced gene 2,9,,canonical NF-kappaB signal transduction,,,IBA,PTN000374256 ,J:265628 
MGI:1351332,Azi2,5-azacytidine induced gene 2,9,,canonical NF-kappaB signal transduction,,,IDA,,J:58756 
MGI:88140,Bcl3,B cell leukemia/lymphoma 3,7,,canonical NF-kappaB signal transduction,,,ISO,P20749 ,J:164563 
MGI:1337994,Bcl10,B cell leukemia/lymphoma 10,3,,canonical NF-kappaB signal transduction,,,IBA,PTN002858499 ,J:265628 
MGI:1337994,Bcl10,B cell leukemia/lymphoma 10,3,,canonical NF-kappaB signal transduction,,,IMP,MGI:2158304 ,J:67297 
MGI:1337994,Bcl10,B cell leukemia/lymphoma 10,3,,canonical NF-kappaB signal transduction,,,ISO,AF057700 ,J:54312 
MGI:1337994,Bcl10,B cell leukemia/lymphoma 10,3,,positive regulation of canonical NF-kappaB signal transduction,,,ISO,O95999 ,J:164563 
MGI:1888520,Brd4,bromodomain containing 4,17,,positive regulation of canonical NF-kappaB signal transduction,,,ISO,O60885 ,J:164563 
MGI:88216,Btk,Bruton agammaglobulinemia tyrosine kinase,X,,canonical NF-kappaB signal transduction,,,IMP,MGI:1857138 ,J:86551 
MGI:1338871,Btrc,beta-transducin repeat containing protein,19,,regulation of canonical NF-kappaB signal transduction,,,IMP,MGI:2669949 ,J:84639 
MGI:1917562,Cactin,"cactin, spliceosome C complex subunit",10,,negative regulation of canonical NF-kappaB signal transduction,,,ISO,Q8WUQ7 ,J:164563 
MGI:107437,Capn3,calpain 3,2,,regulation of canonical NF-kappaB signal transduction,,,IMP,,J:180460 
MGI:107437,Capn3,calpain 3,2,,regulation of canonical NF-kappaB signal transduction,,,ISO,P20807 ,J:164563 
MGI:3032959,Card6,"caspase recruitment domain family, member 6",15,,regulation of canonical NF-kappaB signal transduction,,,ISA,AY196783 ,J:85109 
MGI:2685628,Card9,"caspase recruitment domain family, member 9",2,,canonical NF-kappaB signal transduction,,,ISO,RGD:708370 ,J:155856 
MGI:2685628,Card9,"caspase recruitment domain family, member 9",2,,positive regulation of canonical NF-kappaB signal transduction,,,IBA,PTN002684610 ,J:265628 
MGI:1916978,Card11,"caspase recruitment domain family, member 11",5,,canonical NF-kappaB signal transduction,"happens in CD4-positive, alpha-beta T cell",,IMP,MGI:3039682 ,J:89322 
MGI:1916978,Card11,"caspase recruitment domain family, member 11",5,,canonical NF-kappaB signal transduction,,,ISO,Q9BXL7 ,J:164563 
MGI:1916978,Card11,"caspase recruitment domain family, member 11",5,,positive regulation of canonical NF-kappaB signal transduction,,,IBA,PTN000377524 ,J:265628 
MGI:1916978,Card11,"caspase recruitment domain family, member 11",5,,positive regulation of canonical NF-kappaB signal transduction,positively regulates canonical NF-kappaB signal transduction,,IMP,MGI:3039682 ,J:89322 
